,day,mouse_1,mouse_2,mouse_3,mouse_4,mouse_5,mouse_6,mouse_7,mouse_8,mean,std
0,0,,0.0,0.0,,,0.0,,0.0,0.0,0.0
1,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2,,0.0,0.0,,0.0,,0.0,1.0,0.2,0.44721359549995804
3,3,,0.0,0.0,,0.0,0.0,,,0.0,0.0
4,4,,,,,,,,,,
5,5,,,,,,,,,,
6,6,,0.0,,,,0.0,0.0,0.0,0.0,0.0
7,7,,,,,,,,,,
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.3535533905932738
9,9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,1.4142135623730951
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.3535533905932738
11,11,,,,,,,,,,
12,12,,,,,,,,,,
13,13,,,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.2649110640673518
14,14,,0.0,0.0,,,0.0,5.0,0.0,1.0,2.23606797749979
15,15,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.75,1.0350983390135313
16,16,,,,,,,,,,
17,17,0.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,1.25,1.3887301496588271
18,18,,,,,,,,,,
19,19,,,,,,,,,,
20,20,3.0,1.0,2.0,17.0,11.0,1.0,16.0,26.0,9.625,9.379879682444912
21,21,3.0,4.0,5.0,3.0,5.0,11.0,6.0,6.0,5.375,2.559994419636775
22,22,1.0,4.0,3.0,22.0,2.0,20.0,14.0,1.0,8.375,8.863045268335902
23,23,3.0,3.0,22.0,15.0,11.0,4.0,3.0,16.0,9.625,7.44383733605956
24,24,11.0,8.0,1.0,8.0,7.0,9.0,3.0,6.0,6.625,3.2486260832190936
25,25,,,,,,,,,,
26,26,,,,,,,,,,
27,27,15.0,24.0,4.0,9.0,6.0,13.0,19.0,8.0,12.25,6.840008354213778
28,28,4.0,3.0,6.0,3.0,10.0,6.0,12.0,17.0,7.625,4.983902658989812
29,29,2.0,9.0,1.0,32.0,12.0,6.0,7.0,4.0,9.125,9.920217451533725
30,30,11.0,2.0,5.0,5.0,9.0,1.0,5.0,6.0,5.5,3.295017884191656
31,31,11.0,0.0,3.0,11.0,10.0,2.0,6.0,8.0,6.375,4.307385683749649
32,32,,,,,,,,,,
33,33,,,,,,,,,,
34,34,54.0,17.0,33.0,62.0,61.0,11.0,25.0,26.0,36.125,20.145453226827282
35,35,15.0,4.0,15.0,4.0,5.0,13.0,3.0,9.0,8.5,5.18238775634773
36,36,13.0,13.0,4.0,4.0,11.0,6.0,20.0,4.0,9.375,5.853875395228117
37,37,,,,,,,,,,
38,38,12.0,5.0,13.0,1.0,27.0,7.0,9.0,4.0,9.75,8.04895734152656
39,39,,,,,,,,,,
40,40,,,,,,,,,,
41,41,19.0,5.0,22.0,5.0,12.0,7.0,12.0,7.0,11.125,6.446205971621713
42,42,5.0,3.0,8.0,12.0,8.0,2.0,17.0,15.0,8.75,5.496752287877426
43,43,7.0,15.0,13.0,8.0,0.0,7.0,18.0,18.0,10.75,6.3189058727418494
44,44,18.0,11.0,10.0,20.0,4.0,10.0,5.0,17.0,11.875,5.938674695827104
45,45,,,,,,,,,,
46,46,,,,,,,,,,
47,47,,,,,,,,,,
48,48,,,,,,,,,,
49,49,8.0,6.0,8.0,14.0,11.0,6.0,5.0,8.0,8.25,2.9640705601780613
50,50,,,,,,,,,,
51,51,21.0,2.0,11.0,2.0,19.0,3.0,9.0,5.0,9.0,7.54036755451237
52,52,1.0,5.0,7.0,9.0,19.0,10.0,11.0,9.0,8.875,5.19443383412888
53,53,,,,,,,,,,
54,54,,,,,,,,,,
55,55,,,,,,,,,,
56,56,9.0,10.0,6.0,7.0,14.0,1.0,11.0,8.0,8.25,3.8452196667699345
57,57,5.0,11.0,12.0,13.0,25.0,17.0,8.0,14.0,13.125,6.0341291240504855
58,58,11.0,24.0,19.0,17.0,26.0,10.0,10.0,32.0,18.625,8.210402808980463
59,59,11.0,5.0,7.0,6.0,38.0,14.0,23.0,13.0,14.625,11.070391656512042
60,60,,,,,,,,,,
61,61,,,,,,,,,,
62,62,,,,,,,,,,
63,63,13.0,2.0,15.0,12.0,23.0,12.0,1.0,9.0,10.875,7.079901129253148
64,64,,,,,,,,,,
65,65,,,,,,,,,,
66,66,,,,,,,,,,
67,67,,,,,,,,,,
68,68,,,,,,,,,,
69,69,18.0,14.0,23.0,7.0,4.0,14.0,12.0,14.0,13.25,5.922113522335465
70,70,9.0,6.0,13.0,23.0,5.0,3.0,8.0,9.0,9.5,6.233549779791836
71,71,,,,,,,,,,
72,72,17.0,1.0,4.0,7.0,9.0,24.0,3.0,5.0,8.75,7.869470848066688
73,73,12.0,9.0,3.0,26.0,8.0,18.0,9.0,4.0,11.125,7.605214376615936
74,74,,,,,,,,,,
75,75,,,,,,,,,,
76,76,,,,,,,,,,
77,77,17.0,5.0,7.0,3.0,26.0,10.0,6.0,13.0,10.875,7.623975340988453
78,78,,,,,,,,,,
79,79,13.0,3.0,14.0,2.0,6.0,8.0,11.0,13.0,8.75,4.713203338949606
80,80,,,,,,,,,,
81,81,,,,,,,,,,
82,82,,,,,,,,,,
83,83,4.0,8.0,5.0,2.0,5.0,6.0,0.0,7.0,4.625,2.615202805574687
84,84,,,,,,,,,,
85,85,,,,,,,,,,
86,86,17.0,10.0,19.0,21.0,9.0,26.0,6.0,11.0,14.875,6.916594950861711
87,87,,,,,,,,,,
88,88,,,,,,,,,,
89,89,,,,,,,,,,
90,90,10.0,7.0,8.0,7.0,9.0,15.0,10.0,9.0,9.375,2.559994419636775
91,91,,,,,,,,,,
92,92,,,,,,,,,,
93,93,,,,,,,,,,
94,94,,,,,,,,,,
95,95,,,,,,,,,,
96,96,,,,,,,,,,
97,97,23.0,3.0,4.0,7.0,8.0,9.0,8.0,14.0,9.5,6.391959234627741
98,98,,,,,,,,,,
99,99,,,,,,,,,,
100,100,,,,,,,,,,
101,101,,,,,,,,,,
102,102,,,,,,,,,,
103,103,,,,,,,,,,
104,104,15.0,18.0,19.0,8.0,4.0,11.0,17.0,13.0,13.125,5.221863378417434
105,105,,,,,,,,,,
106,106,,,,,,,,,,
107,107,,,,,,,,,,
108,108,,,,,,,,,,
109,109,,,,,,,,,,
110,110,,,,,,,,,,
111,111,10.0,0.0,5.0,3.0,3.0,3.0,4.0,9.0,4.625,3.3354160160315836
112,112,,,,,,,,,,
113,113,,,,,,,,,,
114,114,,,,,,,,,,
115,115,,,,,,,,,,
116,116,,,,,,,,,,
117,117,,,,,,,,,,
118,118,,,,,,,,,,
119,119,,,,,,,,,,
120,120,,,,,,,,,,
121,121,,,,,,,,,,
122,122,,,,,,,,,,
123,123,,,,,,,,,,
124,124,,,,,,,,,,
125,125,8.0,10.0,5.0,15.0,5.0,30.0,15.0,7.0,11.875,8.322731351116479
